Location     Address       Index-0      Index-1      Index-2
-------- --------------- ------------ ------------ ------------
16/3/2   192.168.100.1            N/D          N/D          N/D
03/0/0   192.168.100.214         33/0         33/1         33/2
03/2/0   192.168.100.218         43/0         43/1         43/2
03/1/0   192.168.100.122         41/0         41/1         41/2
01/3/0   192.168.100.208         13/0         13/1         13/2
01/1/2   192.168.100.204         10/0         10/1         10/2
01/0/2   192.168.100.197         02/0         02/1         02/2
02/1/0   192.168.100.187         22/0         22/1         22/2
03/3/2   192.168.100.120          4/1         40/1         44/1
01/1/0   192.168.100.203         03/0         03/1         03/2
01/0/0   192.168.100.30          01/0         01/1         01/2
02/0/2   192.168.100.183         21/0         21/1         21/2
02/3/2   192.168.100.174         32/0         32/1         32/2
02/2/2   192.168.100.18          30/0         30/1         30/2
15/2/2   192.168.100.179          N/D          N/D          N/D
01/2/0   192.168.100.206         11/0         11/1         11/2
03/0/2   192.168.100.124         34/0         34/1         34/2
02/2/0   192.168.100.184         24/0         24/1         24/2
01/3/2   192.168.100.200         14/0         14/1         14/2
02/0/0   192.168.100.186         20/0         20/1         20/2
01/2/2   192.168.100.207         12/0         12/1         12/2
03/1/2   192.168.100.123         42/0         42/1         42/2
03/3/0   192.168.100.121         44/0          N/D          0/1
15/1/0   192.168.100.176          N/D          N/D          N/D
15/2/0   192.168.100.178          N/D          N/D          N/D
02/1/2   192.168.100.185         23/0         23/1         23/2
15/1/2   192.168.100.177          N/D          N/D          N/D
15/0/0   192.168.100.154          N/D          N/D          N/D
03/2/2   192.168.100.118          0/0          4/0         40/0
15/3/2   192.168.100.181          N/D          N/D          N/D
02/3/0   192.168.100.182         31/0         31/1         31/2
15/3/0   192.168.100.180          N/D          N/D          N/D
15/0/2   192.168.100.175          N/D          N/D          N/D

